nomePais	cidadeDestino	tipoFestival	nomeFestival	precoPessoa	precoDiario	epoca	duracao	imagem	informacoes	Campismo	preco	Ambiente	Região	diversao	palcos
Portugal	Idanha-a-Nova	Eletronica	Boom Festival	150	25	Verao	7	boomfestival.jpg	www.boomfestival.org	Sim	87	Tradicional	Europa	Sim	4
Portugal	Lisboa	Fado	Caixa Alfama	40	25	Verao	2	caixafama.jpg	www.caixaalfama.pt	Nao	32	Urbano	Europa	Nao	9
Portugal	Elvas	Eletronica	Freedom Festival	85	20	Verao	5	freedomFestival.jpg	https://www.facebook.com/FreedomFestival.pt	Sim	52	Tradicional	Europa	Nao	2
Portugal	Portalegre	Variado	Festival do Crato	30	8	Verao	4	crato.jpg	www.festivaldocrato.com	Sim	19	Rural	Europa	Sim	2
Portugal	Paredes de Coura	Rock	Paredes de Coura	90	40	Verao	3	paredes-de-coura.jpg	www.paredesdecoura.com	Sim	65	Fluvial	Europa	Sim	3
Portugal	Lisboa	Variado	Rock in Rio Lisboa	18	60	Verao	5	rock-in-rio.jpg	www.rockinriolisboa.sapo.pt	Nao	39	Urbano	Europa	Sim	5
Portugal	Vila Nova de Gaia	Variado	Meo Mares Vivas	60	35	Verao	3	maresvivas.jpg	www.maresvivas.meo.pt	Sim	47	Urbano	Europa	Nao	4
Portugal	Oeiras	Variado	Nos Alive	119	56	Verao	3	NOS-Alive.jpg	www.nosalive.com	Sim	87	Urbano	Europa	Sim	4
Portugal	Porto	Variado	Nos Primavera Sound Porto	80	55	Verao	2	NOS-Primavera-Sound-.jpg	www.nosprimaverasound.com	Nao	67	Urbano	Europa	Nao	4
Portugal	Zambujeira do Mar	Variado	MEO Sudoeste	95	48	Verao	5	l_meosudoeste2016.jpg	www.sudoeste.meo.pt	Sim	71	Praia	Europa	Sim	3
Portugal	Sesimbra	Rock	Super Bock Super Rock	95	50	Verao	3	SBSR-V5.jpg	www.superbocksuperrock.pt	Sim	72	Urbano	Europa	Nao	4
Portugal	Lisboa	Variado	Festival de Inverno	30	25	Inverno	2	festi.inverno.jpg	Indisponivel	Nao	27	Urbano	Europa	Nao	2
Reino Unido	Glastonbury	Variado	Glastonbury Festival	0	0	Verao	4	glastonbury.jpg	http://www.glastonburyfestivals.co.uk/	Sim	0	Urbano	Europa	Sim	3
Alemanha	Nuremberga	Rock	Rock am Ring	450	160	Verao	3	rockamring.jpg	http://www.rock-am-ring.com/	Sim	305	Urbano	Europa	Nao	4
Alemanha	Nuremberga	Rock	Rock im Park	550	195	Verao	3	rock im park.jpg	http://www.rock-im-park.com/	Sim	372	Urbano	Europa	Nao	4
